,movie_title,year,place,star_cast,rating,director
26,Interstellar,2014-01-01,27," Matthew McConaughey,  Anne Hathaway",8.55954475104457,Christopher Nolan
27,Star Wars,1977-01-01,28," Mark Hamill,  Harrison Ford",8.55298353931449,George Lucas
28,Terminator 2: Judgment Day,1991-01-01,29," Arnold Schwarzenegger,  Linda Hamilton",8.536503386799351,James Cameron
29,Back to the Future,1985-01-01,30," Michael J. Fox,  Christopher Lloyd",8.518316398634152,Robert Zemeckis
30,Sen to Chihiro no kamikakushi,2001-01-01,31," Daveigh Chase,  Suzanne Pleshette",8.515299787553069,Hayao Miyazaki
31,Psycho,1960-01-01,32," Anthony Perkins,  Janet Leigh",8.508270987405739,Alfred Hitchcock
32,The Pianist,2002-01-01,33," Adrien Brody,  Thomas Kretschmann",8.505447840615979,Roman Polanski
33,Léon,1994-01-01,34," Jean Reno,  Gary Oldman",8.498749913265474,Luc Besson
34,Gisaengchung,2019-01-01,35," Song Kang-ho,  Sun-kyun Lee",8.496172637274896,Bong Joon Ho
35,The Lion King,1994-01-01,36," Matthew Broderick,  Jeremy Irons",8.488390121642956,Roger Allers
36,Gladiator,2000-01-01,37," Russell Crowe,  Joaquin Phoenix",8.486360062061904,Ridley Scott
37,American History X,1998-01-01,38," Edward Norton,  Edward Furlong",8.483884250875729,Tony Kaye
38,The Departed,2006-01-01,39," Leonardo DiCaprio,  Matt Damon",8.475714608973107,Martin Scorsese
39,The Usual Suspects,1995-01-01,40," Kevin Spacey,  Gabriel Byrne",8.47473735732364,Bryan Singer
40,The Prestige,2006-01-01,41," Christian Bale,  Hugh Jackman",8.468535596585735,Christopher Nolan
41,Casablanca,1942-01-01,42," Humphrey Bogart,  Ingrid Bergman",8.464476595045618,Michael Curtiz
42,Whiplash,2014-01-01,43," Miles Teller,  J.K. Simmons",8.462322641396534,Damien Chazelle
43,The Intouchables,2011-01-01,44," François Cluzet,  Omar Sy",8.453461465604205,Olivier Nakache
44,Seppuku,1962-01-01,45," Tatsuya Nakadai,  Akira Ishihama",8.450555523414412,Masaki Kobayashi
45,Hotaru no haka,1988-01-01,46," Tsutomu Tatsumi,  Ayano Shiraishi",8.450486095254792,Isao Takahata
